Machine,Operation,Sample Type,File Name,Duration (s)
M01,OP03,good,M01_Aug_2019_OP03_002.h5,89.088
M01,OP03,good,M01_Feb_2021_OP03_005.h5,88.576
M01,OP03,bad,M01_Aug_2019_OP03_000.h5,69.8265
M01,OP01,good,M01_Aug_2019_OP01_010.h5,30.208
M01,OP01,good,M01_Feb_2019_OP01_000.h5,29.4
M01,OP01,good,M01_Aug_2019_OP01_000.h5,30.208
M01,OP01,good,M01_Feb_2021_OP01_012.h5,30.208
M01,OP01,bad,M01_Feb_2019_OP01_000.h5,23.5405
M01,OP01,bad,M01_Aug_2019_OP01_000.h5,19.4915
M01,OP07,good,M01_Feb_2021_OP07_003.h5,25.088
M01,OP07,good,M01_Feb_2021_OP07_012.h5,25.6
M01,OP07,good,M01_Feb_2021_OP07_002.h5,24.576
M01,OP07,good,M01_Feb_2020_OP07_003.h5,25.6
M01,OP07,good,M01_Feb_2021_OP07_014.h5,25.088
M01,OP07,good,M01_Feb_2021_OP07_005.h5,25.088
M01,OP07,good,M01_Aug_2019_OP07_012.h5,25.088
M01,OP07,good,M01_Aug_2019_OP07_011.h5,25.088
M01,OP07,bad,M01_Aug_2021_OP07_001.h5,23.0
M01,OP07,bad,M01_Aug_2021_OP07_000.h5,21.0
M01,OP07,bad,M01_Feb_2019_OP07_000.h5,18.7555
M01,OP07,bad,M01_Aug_2019_OP07_000.h5,16.0995
M01,OP10,good,M01_Feb_2020_OP10_000.h5,49.152
M01,OP10,good,M01_Aug_2019_OP10_006.h5,46.08
M01,OP10,good,M01_Feb_2021_OP10_000.h5,46.592
M01,OP10,good,M01_Aug_2019_OP10_000.h5,49.152
M01,OP10,good,M01_Aug_2019_OP10_010.h5,49.152
M01,OP10,good,M01_Feb_2021_OP10_003.h5,50.0
M01,OP10,good,M01_Feb_2020_OP10_003.h5,49.664
M01,OP10,good,M01_Aug_2019_OP10_002.h5,49.152
M01,OP10,bad,M01_Feb_2019_OP10_000.h5,41.7205
M01,OP10,bad,M01_Feb_2019_OP10_002.h5,43.0105
M01,OP10,bad,M01_Aug_2021_OP10_000.h5,40.0
M01,OP10,bad,M01_Feb_2019_OP10_001.h5,42.9155
M01,OP05,good,M01_Aug_2019_OP05_011.h5,23.04
M01,OP05,good,M01_Feb_2021_OP05_004.h5,20.992
M01,OP05,good,M01_Aug_2019_OP05_002.h5,23.552
M01,OP05,good,M01_Feb_2021_OP05_008.h5,23.552
M01,OP05,good,M01_Feb_2021_OP05_003.h5,20.992
M01,OP05,good,M01_Aug_2019_OP05_013.h5,21.504
M01,OP05,good,M01_Aug_2019_OP05_009.h5,20.992
M01,OP05,good,M01_Aug_2019_OP05_015.h5,23.552
M01,OP05,bad,M01_Feb_2019_OP05_001.h5,14.8105
M01,OP05,bad,M01_Feb_2019_OP05_000.h5,14.9155
M01,OP05,bad,M01_Feb_2021_OP05_000.h5,15.0
M01,OP05,bad,M01_Aug_2019_OP05_000.h5,13.3965
M01,OP02,good,M01_Aug_2021_OP02_002.h5,44.032
M01,OP02,good,M01_Aug_2019_OP02_000.h5,46.592
M01,OP02,bad,M01_Feb_2019_OP02_000.h5,35.8555
M01,OP12,good,M01_Feb_2020_OP12_000.h5,49.152
M01,OP12,good,M01_Aug_2019_OP12_016.h5,46.08
M01,OP12,good,M01_Aug_2019_OP12_005.h5,48.64
M01,OP12,good,M01_Aug_2019_OP12_014.h5,48.64
M01,OP12,good,M01_Feb_2021_OP12_005.h5,49.152
M01,OP12,good,M01_Feb_2021_OP12_006.h5,48.128
M01,OP12,bad,M01_Feb_2019_OP12_000.h5,42.7055
M01,OP12,bad,M01_Feb_2019_OP12_002.h5,42.4105
M01,OP12,bad,M01_Feb_2019_OP12_001.h5,42.6155
M01,OP11,good,M01_Feb_2021_OP11_000.h5,58.368
M01,OP11,good,M01_Feb_2019_OP11_001.h5,58.2
M01,OP11,good,M01_Feb_2020_OP11_000.h5,59.904
M01,OP11,good,M01_Feb_2021_OP11_002.h5,59.392
M01,OP11,good,M01_Feb_2020_OP11_001.h5,59.904
M01,OP11,good,M01_Feb_2021_OP11_001.h5,60.416
M01,OP11,good,M01_Feb_2019_OP11_002.h5,60.0
M01,OP11,good,M01_Aug_2019_OP11_003.h5,60.928
M01,OP11,bad,M01_Feb_2021_OP11_000.h5,45.0
M01,OP11,bad,M01_Feb_2019_OP11_001.h5,53.7755
M01,OP11,bad,M01_Feb_2019_OP11_000.h5,53.5805
M01,OP11,bad,M01_Feb_2019_OP11_002.h5,53.5755
M02,OP08,good,M02_Aug_2020_OP08_001.h5,37.888
M02,OP08,good,M02_Feb_2021_OP08_005.h5,39.936
M02,OP08,good,M02_Aug_2020_OP08_000.h5,35.84
M02,OP08,good,M02_Aug_2019_OP08_008.h5,37.888
M02,OP08,good,M02_Feb_2021_OP08_004.h5,40.448
M02,OP08,good,M02_Feb_2021_OP08_003.h5,40.448
M02,OP08,good,M02_Aug_2019_OP08_006.h5,37.888
M02,OP08,good,M02_Feb_2020_OP08_002.h5,37.888
M02,OP08,bad,M02_Aug_2019_OP08_000.h5,29.592
M02,OP08,bad,M02_Feb_2019_OP08_000.h5,31.9055
M02,OP08,bad,M02_Feb_2019_OP08_001.h5,32.0355
M02,OP08,bad,M02_Aug_2021_OP08_000.h5,35.0
M02,OP04,good,M02_Feb_2019_OP04_000.h5,68.4
M02,OP04,good,M02_Aug_2019_OP04_004.h5,67.584
M02,OP04,good,M02_Aug_2020_OP04_000.h5,49.664
M02,OP04,good,M02_Aug_2020_OP04_004.h5,67.584
M02,OP04,good,M02_Aug_2020_OP04_003.h5,49.152
M02,OP04,good,M02_Aug_2019_OP04_001.h5,67.584
M02,OP04,bad,M02_Feb_2019_OP04_000.h5,62.3655
M02,OP04,bad,M02_Feb_2019_OP04_002.h5,62.8755
M02,OP04,bad,M02_Aug_2019_OP04_000.h5,59.595
M02,OP14,good,M02_Feb_2020_OP14_002.h5,34.304
M02,OP14,good,M02_Feb_2021_OP14_003.h5,35.84
M02,OP14,good,M02_Feb_2021_OP14_001.h5,35.328
M02,OP14,good,M02_Aug_2019_OP14_018.h5,33.792
M02,OP14,bad,M02_Feb_2019_OP14_000.h5,26.5805
M02,OP14,bad,M02_Feb_2019_OP14_001.h5,26.5205
M02,OP03,good,M02_Feb_2020_OP03_003.h5,79.36
M02,OP03,good,M02_Aug_2020_OP03_000.h5,79.36
M02,OP03,bad,M02_Feb_2021_OP03_000.h5,75.0
M02,OP01,good,M02_Aug_2019_OP01_019.h5,28.672
M02,OP01,good,M02_Aug_2019_OP01_014.h5,29.184
M02,OP01,good,M02_Feb_2021_OP01_006.h5,29.184
M02,OP01,good,M02_Aug_2019_OP01_018.h5,29.184
M02,OP01,good,M02_Aug_2021_OP01_001.h5,30.208
M02,OP01,good,M02_Aug_2019_OP01_007.h5,29.184
M02,OP01,bad,M02_Feb_2019_OP01_000.h5,23.4055
M02,OP01,bad,M02_Feb_2019_OP01_001.h5,23.2555
M02,OP01,bad,M02_Aug_2019_OP01_000.h5,21.6805
M02,OP00,good,M02_Feb_2020_OP00_004.h5,134.656
M02,OP00,good,M02_Feb_2021_OP00_000.h5,136.704
M02,OP00,bad,M02_Feb_2021_OP00_000.h5,130.0
M02,OP07,good,M02_Aug_2019_OP07_016.h5,24.576
M02,OP07,good,M02_Aug_2019_OP07_005.h5,24.576
M02,OP07,good,M02_Feb_2020_OP07_002.h5,24.576
M02,OP07,good,M02_Aug_2019_OP07_019.h5,24.576
M02,OP07,good,M02_Aug_2019_OP07_004.h5,25.088
M02,OP07,good,M02_Aug_2019_OP07_010.h5,24.576
M02,OP07,bad,M02_Aug_2019_OP07_000.h5,17.2235
M02,OP07,bad,M02_Feb_2019_OP07_001.h5,18.8355
M02,OP07,bad,M02_Feb_2019_OP07_000.h5,18.7655
M02,OP10,good,M02_Feb_2021_OP10_001.h5,50.688
M02,OP10,good,M02_Aug_2019_OP10_014.h5,48.64
M02,OP10,good,M02_Aug_2020_OP10_003.h5,48.64
M02,OP10,good,M02_Feb_2021_OP10_004.h5,50.688
M02,OP10,bad,M02_Feb_2019_OP10_000.h5,42.7955
M02,OP10,bad,M02_Feb_2019_OP10_001.h5,42.8205
M02,OP05,good,M02_Aug_2020_OP05_003.h5,18.432
M02,OP05,good,M02_Aug_2019_OP05_003.h5,20.48
M02,OP05,good,M02_Aug_2019_OP05_000.h5,20.48
M02,OP05,good,M02_Feb_2020_OP05_001.h5,20.992
M02,OP05,bad,M02_Feb_2019_OP05_000.h5,15.0955
M02,OP05,bad,M02_Feb_2019_OP05_001.h5,15.0205
M02,OP02,good,M02_Aug_2019_OP02_017.h5,43.52
M02,OP02,good,M02_Feb_2021_OP02_010.h5,48.128
M02,OP02,good,M02_Feb_2021_OP02_009.h5,43.008
M02,OP02,good,M02_Feb_2019_OP02_000.h5,44.4
M02,OP02,bad,M02_Feb_2019_OP02_000.h5,36.1905
M02,OP02,bad,M02_Feb_2019_OP02_001.h5,37.8705
M02,OP12,good,M02_Aug_2020_OP12_000.h5,47.104
M02,OP12,good,M02_Feb_2021_OP12_000.h5,50.176
M02,OP12,good,M02_Feb_2020_OP12_000.h5,49.152
M02,OP12,good,M02_Aug_2019_OP12_006.h5,48.128
M02,OP12,bad,M02_Feb_2019_OP12_001.h5,42.6855
M02,OP12,bad,M02_Feb_2019_OP12_000.h5,42.5705
M02,OP11,good,M02_Feb_2020_OP11_003.h5,59.392
M02,OP11,good,M02_Aug_2019_OP11_007.h5,58.88
M02,OP11,good,M02_Feb_2020_OP11_004.h5,58.88
M02,OP11,good,M02_Feb_2020_OP11_000.h5,58.88
M02,OP11,bad,M02_Feb_2019_OP11_000.h5,52.1655
M02,OP11,bad,M02_Feb_2019_OP11_001.h5,51.8905
M03,OP04,good,M03_Feb_2021_OP04_002.h5,66.048
M03,OP04,good,M03_Feb_2020_OP04_000.h5,63.488
M03,OP04,good,M03_Aug_2019_OP04_015.h5,65.024
M03,OP04,good,M03_Feb_2020_OP04_002.h5,65.024
M03,OP04,bad,M03_Aug_2019_OP04_000.h5,57.003
M03,OP04,bad,M03_Feb_2021_OP04_000.h5,60.0
M03,OP01,good,M03_Aug_2020_OP01_003.h5,26.624
M03,OP01,good,M03_Aug_2019_OP01_006.h5,28.672
M03,OP01,good,M03_Aug_2021_OP01_001.h5,28.672
M03,OP01,good,M03_Aug_2019_OP01_004.h5,27.136
M03,OP01,bad,M03_Aug_2019_OP01_000.h5,17.4505
M03,OP01,bad,M03_Feb_2021_OP01_000.h5,22.0
M03,OP07,good,M03_Aug_2019_OP07_016.h5,24.064
M03,OP07,good,M03_Aug_2019_OP07_020.h5,25.088
M03,OP07,good,M03_Aug_2019_OP07_015.h5,24.064
M03,OP07,good,M03_Aug_2020_OP07_001.h5,22.528
M03,OP07,good,M03_Aug_2019_OP07_006.h5,24.576
M03,OP07,good,M03_Aug_2019_OP07_005.h5,24.064
M03,OP07,bad,M03_Feb_2021_OP07_000.h5,18.0
M03,OP07,bad,M03_Aug_2019_OP07_000.h5,14.736
M03,OP07,bad,M03_Aug_2021_OP07_000.h5,20.0
M03,OP10,good,M03_Aug_2019_OP10_010.h5,46.08
M03,OP10,good,M03_Aug_2019_OP10_008.h5,45.056
M03,OP10,bad,M03_Aug_2021_OP10_000.h5,45.0
M03,OP02,good,M03_Aug_2019_OP02_019.h5,42.496
M03,OP02,good,M03_Feb_2020_OP02_002.h5,43.52
M03,OP02,bad,M03_Feb_2021_OP02_000.h5,36.0
